,Race,Age,EaseofUse,Effectiveness,Satisfaction,Sex,UsefulCount,Review,Sideeffect
9203,3,8,1.0,0.75,4.0,0,0.02142857142857143,1.0,2
9209,3,6,0.75,1.0,4.0,1,0.02142857142857143,1.0,2
9215,3,7,1.0,1.0,5.0,1,0.04285714285714286,1.0,1
9221,1,6,0.25,0.75,2.0,1,0.08571428571428572,0.0,4
9227,1,6,0.5,0.0,1.0,0,0.15714285714285714,0.0,5
9233,3,3,1.0,0.25,1.0,0,0.2642857142857143,0.0,5
9239,2,4,1.0,1.0,5.0,0,0.17142857142857143,1.0,1
9245,0,7,1.0,1.0,5.0,1,0.04285714285714286,1.0,1
9251,3,7,0.5,0.25,2.0,0,0.02857142857142857,0.0,4
9269,2,6,1.0,0.5,2.0,1,0.07857142857142857,0.0,4
9275,3,7,1.0,0.75,4.0,0,0.09999999999999999,1.0,2
9287,1,5,1.0,1.0,5.0,0,0.1357142857142857,1.0,1
9297,3,5,0.5,0.75,2.0,1,0.17857142857142858,0.0,4
9312,2,8,1.0,0.0,1.0,1,0.03571428571428571,0.0,5
9322,0,5,1.0,1.0,5.0,0,0.15,1.0,1
9327,2,5,0.75,0.75,4.0,0,0.0,1.0,2
9342,0,4,1.0,0.5,2.0,0,0.049999999999999996,0.0,4
9352,2,6,1.0,0.0,1.0,1,0.08571428571428572,0.0,5
9357,3,3,0.25,0.25,2.0,1,0.07857142857142857,0.0,4
9362,0,6,1.0,0.75,3.0,1,0.06428571428571428,0.0,3
9367,3,5,0.0,0.0,1.0,0,0.1357142857142857,0.0,5
9372,3,5,1.0,0.0,1.0,1,0.05714285714285714,0.0,5
9377,1,7,0.25,0.25,1.0,0,0.10714285714285714,0.0,5
9382,1,7,1.0,0.75,5.0,0,0.15,1.0,1
9392,2,6,0.5,0.0,1.0,0,0.0,0.0,5
9402,2,7,0.5,0.25,1.0,0,0.17142857142857143,0.0,5
9407,3,4,0.75,0.75,3.0,1,0.07857142857142857,0.0,3
9427,2,7,0.0,0.0,1.0,0,0.0,0.0,5
9432,1,6,0.25,0.25,1.0,1,0.1357142857142857,0.0,5
9445,2,6,0.0,0.0,1.0,0,0.12857142857142856,0.0,5
9449,0,5,0.5,0.5,3.0,1,0.049999999999999996,1.0,3
9453,3,6,1.0,0.5,2.0,0,0.07857142857142857,0.0,4
9457,0,5,1.0,0.75,1.0,0,0.10714285714285714,0.0,5
9461,3,7,1.0,1.0,2.0,1,0.12857142857142856,0.0,4
9465,0,5,0.75,0.0,1.0,1,0.12857142857142856,0.0,5
9469,2,8,1.0,0.0,1.0,1,0.05714285714285714,0.0,5
9485,2,4,1.0,0.0,2.0,1,0.07857142857142857,0.0,4
9489,3,6,1.0,0.0,1.0,0,0.12142857142857143,0.0,5
9493,3,5,0.0,0.0,1.0,0,0.21428571428571427,0.0,5
9497,2,6,1.0,0.0,1.0,1,0.12857142857142856,0.0,5
9501,2,7,1.0,0.0,1.0,1,0.17142857142857143,0.0,5
9505,3,5,0.75,0.75,1.0,1,0.19999999999999998,0.0,5
9509,2,7,1.0,0.0,1.0,0,0.12142857142857143,0.0,5
9513,1,7,0.75,0.75,4.0,0,0.049999999999999996,1.0,2
9517,1,7,1.0,1.0,5.0,1,0.11428571428571428,1.0,1
9536,3,7,1.0,1.0,5.0,1,0.03571428571428571,1.0,1
9542,0,5,0.75,0.75,1.0,1,0.09285714285714286,0.0,5
